,full_name,brand,capacity,cycle,size,energy_usage,blanket,wifi,load_sensor,delay,control_panel,vapor,anti_alergy,baby_p,sensitive_p,child_lock,price,image
10,Hoover HDQ 4119AMBS/1-S,Hoover,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5099.18, https://iis-akakce.akamaized.net/p.z?%2F%2Fimg%2Epttavm%2Ecom%2Fpimages%2F592%2F124%2F733%2F615c581e0eadf%2Ejpg%3Fv%3D201910111519
11,Bosch WGA254X0TR 1400,Bosch,Orta Kapasite,Yüksek Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5599.0, https://cdn.akakce.com/bosch/bosch-wga254x0tr-a-1400-devir-10-kg-z.jpg
12,Siemens WG52A2X0TR 1200,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,VAR,VAR,VAR,5538.05, https://cdn.akakce.com/siemens/siemens-wg52a2x0tr-a-1200-devir-10-kg-z.jpg
13,Arçelik 7100 M,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,3218.95, https://cdn.akakce.com/arcelik/arcelik-7100-m-7-kg-1000-devir-z.jpg
14,Vestel CMI 76201,Vestel,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,2650.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fn11scdn%2Eakamaized%2Enet%2Fa1%2F1024%2Felektronik%2Fcamasir%2Dmakinesi%2Fvestel%2Dcmi%2D76201%2D1000%2Ddevir%2D7%2Dkg%2Dcamasir%2Dmakinesi%5F%5F0543177017094812%2Ejpg
15,Altus AL 10123,Altus,Orta Kapasite,Orta Devir,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,3478.2, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F75%2F600%2F110000016784156%2Ejpg
16,Bosch WGA141X0TR 1000,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,VAR,4540.0, https://cdn.akakce.com/bosch/bosch-wga141x0tr-a-1000-devir-9-kg-z.jpg
17,Bosch WGA142X0TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,6696.0, https://cdn.akakce.com/bosch/bosch-wga142x0tr-a-1200-devir-9-kg-z.jpg
18,Siemens WG42A1X1TR 1200,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,VAR,4887.83, https://cdn.akakce.com/siemens/siemens-wg42a1x1tr-a-1200-devir-9-kg-z.jpg
19,Profilo CGA242X1TR 9,Profilo,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,YOK,YOK,3949.0, https://cdn.akakce.com/profilo/profilo-cga242x1tr-9-kg-1200-devir-z.jpg
20,Electrolux EW6F3146EB PerfectCare,Electrolux,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,4690.0, https://cdn.akakce.com/electrolux/electrolux-ew6f3146eb-perfectcare-a-1400-devir-10-kg-z.jpg
21,Beko CM 10120,Beko,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,VAR,VAR,VAR,VAR,YOK,4999.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst1%2Emyideasoft%2Ecom%2Fidea%2Fho%2F77%2Fmyassets%2Fproducts%2F502%2Fbeko%2Dcm%2D10120%2Da%2Dcamasir%2Dmakinesi%2D1%2Ejpg%3Frevision%3D1614594345
22,Profilo CGA141X1TR 1000,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,YOK,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3913.44, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F72%2F600%2F110000013361342%2Ejpg
23,Bosch WGA141X1TR 1000,Bosch,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,YOK,VAR,VAR,4598.0, https://cdn.akakce.com/bosch/bosch-wga141x1tr-1000-devir-9-kg-z.jpg
24,Arçelik 10120 MA,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,5104.99, https://cdn.akakce.com/arcelik/arcelik-10120-ma-1200-devir-10-kg-z.jpg
25,Siemens WM12UT90TR 9,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,VAR,4335.0, https://cdn.akakce.com/siemens/siemens-wm12ut90tr-9-kg-1200-devir-z.jpg
26,Bosch WGA252XVTR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5750.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst2%2Emyideasoft%2Ecom%2Fidea%2Fdr%2F49%2Fmyassets%2Fproducts%2F483%2Fbosch%2Dwga252xvtr%2D10%2Dkg%2D1200%2Ddevir%2Da%2Dcamasir%2Dmakinesi%2D40041%2Ejpg%3Frevision%3D1614685733
27,Vestel KCMI 98142,Vestel,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,VAR,VAR,YOK,VAR,YOK,YOK,VAR,YOK,YOK,VAR,5399.0, https://cdn.akakce.com/vestel/vestel-kcmi-98142-g-wifi-1400-devir-9-kg-6-kg-kurutmali-z.jpg
28,Profilo CMU12T90TR 1200,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,YOK,YOK,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4161.0, https://cdn.akakce.com/profilo/profilo-cmu12t90tr-1200-devir-9-kg-z.jpg
29,LG F4V5RGP2T A,LG,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,8999.0, https://cdn.akakce.com/lg/lg-f4v5rgp2t-a-wi-fi-1400-devir-10-5-kg-7-kg-kurutmali-z.jpg
30,LG F4V5RGP0W A,LG,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,7898.0, https://cdn.akakce.com/lg/lg-f4v5rgp0w-a-wi-fi-1400-devir-10-5-kg-7-kg-kurutmali-z.jpg
31,LG F4V5RYP0W Wi-Fi,LG,Yüksek Kapasite,Yüksek Devir,YOK,Az Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,7299.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fpicscdn%2Eredblue%2Ede%2Fdoi%2FASSET%5FMMS%5F75627177%2Ffee%5F786%5F587%5Fpng
32,Profilo CGA252X0TR 1200,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4498.05, https://cdn.akakce.com/profilo/profilo-cga252x0tr-a-1200-devir-10-kg-z.jpg
33,Grundig GWM 27101,Grundig,Orta Kapasite,Orta Devir,YOK,Önemsiz,VAR,VAR,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,2597.1, https://cdn.akakce.com/grundig/grundig-gwm-27101-wi-fi-1000-devir-7-kg-z.jpg
34,Electrolux EW6F4923EB PerfectCare,Electrolux,Orta Kapasite,Orta Devir,YOK,Önemsiz,VAR,YOK,VAR,VAR,VAR,VAR,VAR,YOK,VAR,VAR,3998.01, https://cdn.akakce.com/electrolux/electrolux-ew6f4923eb-perfectcare-600-a-1200-devir-9-kg-z.jpg
35,Vestel CMI 108222,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,4202.67, https://cdn.akakce.com/z/vestel/vestel-cmi-108222-wifi-1200-devir-10-kg.jpg
36,Arçelik 9100 PM,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,4825.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fwww%2Emarkacenter%2Ecom%2FUploads%2FUrunResimleri%2Farcelik%2D9100%2Dpm%2Dcamasir%2Dmakinesi%2D2%2D858b%2Epng
